Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
ERR950176_2_val_2	(50, 115116.0)	(52, 122417.0)	(54, 108620.0)	(56, 110035.0)	(58, 123927.0)	(60, 152103.0)	(62, 130402.0)	(64, 140481.0)	(66, 164409.0)	(68, 214327.0)	(70, 421873.0)	(72, 232492.0)	(74, 257444.0)	(76, 270563.0)	(78, 263368.0)	(80, 539669.0)	(82, 269898.0)	(84, 308110.0)	(86, 426310.0)	(88, 428357.0)	(90, 563789.0)	(92, 618100.0)	(94, 801767.0)	(96, 962005.0)	(98, 3296255.0)	(100, 11974099.0)
ERR950177_1_val_1	(50, 69823.0)	(52, 89052.0)	(54, 79447.0)	(56, 87984.0)	(58, 99279.0)	(60, 124317.0)	(62, 126245.0)	(64, 130613.0)	(66, 152202.0)	(68, 174034.0)	(70, 243779.0)	(72, 208660.0)	(74, 227196.0)	(76, 246692.0)	(78, 253853.0)	(80, 320449.0)	(82, 332797.0)	(84, 396801.0)	(86, 473051.0)	(88, 505221.0)	(90, 631631.0)	(92, 770652.0)	(94, 1055094.0)	(96, 1518759.0)	(98, 3642609.0)	(100, 10185843.0)
ERR950177_2_val_2	(50, 97986.0)	(52, 109953.0)	(54, 96969.0)	(56, 104419.0)	(58, 117836.0)	(60, 143276.0)	(62, 146479.0)	(64, 148276.0)	(66, 166409.0)	(68, 189686.0)	(70, 247057.0)	(72, 217397.0)	(74, 245198.0)	(76, 240129.0)	(78, 272341.0)	(80, 384017.0)	(82, 288888.0)	(84, 322032.0)	(86, 389478.0)	(88, 424191.0)	(90, 546069.0)	(92, 687522.0)	(94, 858089.0)	(96, 1152253.0)	(98, 3326378.0)	(100, 11223755.0)
ERR950178_1_val_1	(50, 153907.0)	(52, 169404.0)	(54, 184953.0)	(56, 200342.0)	(58, 208711.0)	(60, 224401.0)	(62, 236807.0)	(64, 261928.0)	(66, 284173.0)	(68, 309356.0)	(70, 379037.0)	(72, 342631.0)	(74, 385353.0)	(76, 394626.0)	(78, 404137.0)	(80, 452123.0)	(82, 471995.0)	(84, 523961.0)	(86, 607454.0)	(88, 629326.0)	(90, 714864.0)	(92, 837356.0)	(94, 1099225.0)	(96, 1610001.0)	(98, 3627231.0)	(100, 9801731.0)
ERR950178_2_val_2	(50, 171325.0)	(52, 180801.0)	(54, 193142.0)	(56, 205166.0)	(58, 215966.0)	(60, 229762.0)	(62, 239912.0)	(64, 263065.0)	(66, 282137.0)	(68, 307067.0)	(70, 366471.0)	(72, 332021.0)	(74, 380303.0)	(76, 371638.0)	(78, 389779.0)	(80, 474661.0)	(82, 407654.0)	(84, 434204.0)	(86, 501296.0)	(88, 528206.0)	(90, 607352.0)	(92, 704378.0)	(94, 885838.0)	(96, 1174288.0)	(98, 3165666.0)	(100, 11502935.0)
ERR950179_1_val_1	(50, 50346.0)	(52, 59599.0)	(54, 70033.0)	(56, 73995.0)	(58, 80241.0)	(60, 94077.0)	(62, 99080.0)	(64, 110123.0)	(66, 123907.0)	(68, 144021.0)	(70, 187906.0)	(72, 172985.0)	(74, 192467.0)	(76, 214609.0)	(78, 219882.0)	(80, 252909.0)	(82, 264990.0)	(84, 290674.0)	(86, 348595.0)	(88, 384725.0)	(90, 462804.0)	(92, 563685.0)	(94, 793591.0)	(96, 1171515.0)	(98, 2769342.0)	(100, 7687721.0)
ERR950179_2_val_2	(50, 55141.0)	(52, 61047.0)	(54, 69973.0)	(56, 72595.0)	(58, 77938.0)	(60, 88864.0)	(62, 94308.0)	(64, 105626.0)	(66, 116277.0)	(68, 139772.0)	(70, 168858.0)	(72, 154358.0)	(74, 173219.0)	(76, 181202.0)	(78, 197228.0)	(80, 244776.0)	(82, 223212.0)	(84, 245790.0)	(86, 277638.0)	(88, 304520.0)	(90, 363173.0)	(92, 427091.0)	(94, 572349.0)	(96, 842009.0)	(98, 2439103.0)	(100, 9187755.0)
ERR950180_1_val_1	(50, 107745.0)	(52, 122237.0)	(54, 128778.0)	(56, 143260.0)	(58, 155102.0)	(60, 179827.0)	(62, 187333.0)	(64, 216871.0)	(66, 243681.0)	(68, 263619.0)	(70, 322373.0)	(72, 312306.0)	(74, 360327.0)	(76, 383329.0)	(78, 400280.0)	(80, 470049.0)	(82, 507595.0)	(84, 589471.0)	(86, 702176.0)	(88, 758811.0)	(90, 883000.0)	(92, 1069184.0)	(94, 1446745.0)	(96, 2168548.0)	(98, 5049766.0)	(100, 13803395.0)
ERR950180_2_val_2	(50, 139078.0)	(52, 143743.0)	(54, 146869.0)	(56, 157541.0)	(58, 173477.0)	(60, 196779.0)	(62, 202716.0)	(64, 228326.0)	(66, 250684.0)	(68, 273580.0)	(70, 318096.0)	(72, 310854.0)	(74, 370164.0)	(76, 368207.0)	(78, 415938.0)	(80, 576182.0)	(82, 437908.0)	(84, 481930.0)	(86, 573850.0)	(88, 635635.0)	(90, 762101.0)	(92, 927485.0)	(94, 1176199.0)	(96, 1597415.0)	(98, 4470038.0)	(100, 15641013.0)
ERR950181_1_val_1	(50, 99093.0)	(52, 123848.0)	(54, 139779.0)	(56, 153937.0)	(58, 171351.0)	(60, 211713.0)	(62, 217472.0)	(64, 250908.0)	(66, 271638.0)	(68, 305349.0)	(70, 385854.0)	(72, 385143.0)	(74, 420638.0)	(76, 453999.0)	(78, 482094.0)	(80, 516533.0)	(82, 543806.0)	(84, 612345.0)	(86, 703099.0)	(88, 765614.0)	(90, 871542.0)	(92, 956544.0)	(94, 1271909.0)	(96, 1676136.0)	(98, 3398814.0)	(100, 8955360.0)
