Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR950174_1_val_1	(1.0, 19.57323350537505)	(2.0, 15.407976618436708)	(3.0, 9.747645612443566)	(4.0, 5.319431893193358)	(5.0, 2.8673148139170554)	(6.0, 1.7355155362648707)	(7.0, 1.156758991716726)	(8.0, 0.8471313877456618)	(9.0, 0.6666598796859736)	('>10', 6.795126797488262)	('>50', 2.1865047719916264)	('>100', 5.467996752727751)	('>500', 2.802637971476627)	('>1k', 7.693251916711491)	('>5k', 3.6676726137423405)	('>10k+', 14.065140937083157)
ERR950174_2_val_2	(1.0, 22.58130045723924)	(2.0, 15.611250381468423)	(3.0, 9.346821686987736)	(4.0, 5.060268444479948)	(5.0, 2.6241729986184428)	(6.0, 1.5605941745507925)	(7.0, 1.0206995564214831)	(8.0, 0.7455601481103408)	(9.0, 0.5870940047977437)	('>10', 6.180701908379737)	('>50', 2.2798119569919075)	('>100', 5.962047074732896)	('>500', 2.936648723831195)	('>1k', 8.15056154849864)	('>5k', 3.3939724840134162)	('>10k+', 11.958494450878138)
ERR950175_1_val_1	(1.0, 68.85814928352079)	(2.0, 8.56565717042442)	(3.0, 2.6199745299792196)	(4.0, 1.417208703905076)	(5.0, 0.9783655196786414)	(6.0, 0.7269427156530223)	(7.0, 0.5840141560497524)	(8.0, 0.49539081115519584)	(9.0, 0.4405736397499402)	('>10', 5.649423607710468)	('>50', 1.72979534442135)	('>100', 2.4625333985363427)	('>500', 0.9127273124933172)	('>1k', 2.5665546366330623)	('>5k', 0.5409729644541076)	('>10k+', 1.4517162056354036)
ERR950175_2_val_2	(1.0, 35.94905369644949)	(2.0, 11.574378161048852)	(3.0, 4.039799452161517)	(4.0, 1.95985101107963)	(5.0, 1.119115112230696)	(6.0, 0.8194294272699814)	(7.0, 0.5948382594908819)	(8.0, 0.5153000153329361)	(9.0, 0.41986087087280194)	('>10', 5.278173057517043)	('>50', 2.1674622907755245)	('>100', 6.097418313349099)	('>500', 3.103629675671725)	('>1k', 8.435973032609148)	('>5k', 3.984451857936252)	('>10k+', 13.941265766204513)
ERR950176_1_val_1	(1.0, 27.704188455455782)	(2.0, 14.202552674941204)	(3.0, 7.127878166745208)	(4.0, 3.591195533868482)	(5.0, 1.994268505023021)	(6.0, 1.4027967778615125)	(7.0, 1.03236817222961)	(8.0, 0.8366438113661695)	(9.0, 0.7511761983448834)	('>10', 7.90711515429731)	('>50', 2.2343526660991113)	('>100', 5.297015890726149)	('>500', 2.933886248275655)	('>1k', 7.951995899644906)	('>5k', 3.045267870432047)	('>10k+', 11.987297974688985)
ERR950176_2_val_2	(1.0, 3.667126170454015)	(2.0, 1.9047423013981355)	(3.0, 1.7278356766632827)	(4.0, 1.5657323731145047)	(5.0, 1.4638752627242437)	(6.0, 1.3265784092584574)	(7.0, 1.154710348371988)	(8.0, 1.0346113592172825)	(9.0, 0.8744833701060204)	('>10', 7.1536017026681815)	('>50', 2.4413049453671327)	('>100', 7.8867901669765565)	('>500', 4.571428442160432)	('>1k', 12.78193123848371)	('>5k', 7.351252698553468)	('>10k+', 43.09399553448257)
ERR950177_1_val_1	(1.0, 13.479238045876093)	(2.0, 11.102575838884572)	(3.0, 8.864075974124775)	(4.0, 6.172700073665243)	(5.0, 4.119960431391502)	(6.0, 2.5705811597631216)	(7.0, 1.7335629097471568)	(8.0, 1.1499499793825834)	(9.0, 0.8942637787076962)	('>10', 6.9168856683699484)	('>50', 2.2750406341776843)	('>100', 6.077394916671596)	('>500', 3.219424662476287)	('>1k', 8.76700582398006)	('>5k', 4.613578416010698)	('>10k+', 18.043761686770864)
ERR950177_2_val_2	(1.0, 15.472389674415716)	(2.0, 11.792976977339311)	(3.0, 9.181352873263036)	(4.0, 6.348982613971834)	(5.0, 4.0330111343761965)	(6.0, 2.4679221320214357)	(7.0, 1.6513598973249797)	(8.0, 1.1067980740854921)	(9.0, 0.8094258593405037)	('>10', 5.958192555662517)	('>50', 2.166270999400973)	('>100', 6.218746909078001)	('>500', 3.388772043533069)	('>1k', 9.369507500749844)	('>5k', 3.999642227251205)	('>10k+', 16.034648528185887)
ERR950178_1_val_1	(1.0, 45.1068198998425)	(2.0, 15.226725096320518)	(3.0, 5.353766256597094)	(4.0, 2.4876030710064603)	(5.0, 1.5780024147267382)	(6.0, 1.0769068353553644)	(7.0, 0.7954324894379753)	(8.0, 0.5974212423500651)	(9.0, 0.5230891481695161)	('>10', 5.377453590459625)	('>50', 1.6707078335178982)	('>100', 4.079489017700986)	('>500', 1.7296275500370277)	('>1k', 4.797102949661802)	('>5k', 2.4108228613743248)	('>10k+', 7.189029743442235)
ERR950178_2_val_2	(1.0, 47.023538978126076)	(2.0, 15.167901136688661)	(3.0, 5.106336517948237)	(4.0, 2.299931052800109)	(5.0, 1.3412329209687304)	(6.0, 0.9600270259106078)	(7.0, 0.709354467179102)	(8.0, 0.5445299728526924)	(9.0, 0.4297457641927671)	('>10', 4.928249094617518)	('>50', 1.7160253933621379)	('>100', 4.10039276203555)	('>500', 1.8891940241356593)	('>1k', 4.742873678674169)	('>5k', 2.1619802479678873)	('>10k+', 6.878686962540191)
