Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
ERR950173_2_val_2	(14.0, 2.0)	(15.0, 4.0)	(16.0, 14.0)	(17.0, 130.0)	(18.0, 346.0)	(19.0, 755.0)	(20.0, 3824.0)	(21.0, 9763.0)	(22.0, 19463.0)	(23.0, 34571.0)	(24.0, 54947.0)	(25.0, 82413.0)	(26.0, 117946.0)	(27.0, 162063.0)	(28.0, 216308.0)	(29.0, 283462.0)	(30.0, 366068.0)	(31.0, 474344.0)	(32.0, 629953.0)	(33.0, 865551.0)	(34.0, 1265093.0)	(35.0, 1881469.0)	(36.0, 3139066.0)	(37.0, 4668689.0)	(38.0, 3954621.0)	(39.0, 699194.0)	(40.0, 4850.0)		
ERR950174_1_val_1	(19.0, 1.0)	(20.0, 13.0)	(21.0, 195.0)	(22.0, 1236.0)	(23.0, 5922.0)	(24.0, 19326.0)	(25.0, 49732.0)	(26.0, 104982.0)	(27.0, 192669.0)	(28.0, 310167.0)	(29.0, 456004.0)	(30.0, 625554.0)	(31.0, 826470.0)	(32.0, 1086568.0)	(33.0, 1465087.0)	(34.0, 2066241.0)	(35.0, 3143079.0)	(36.0, 5155878.0)	(37.0, 6138549.0)	(38.0, 2112567.0)	(39.0, 274270.0)	(40.0, 206.0)							
ERR950174_2_val_2	(14.0, 1.0)	(15.0, 5.0)	(16.0, 28.0)	(17.0, 156.0)	(18.0, 386.0)	(19.0, 714.0)	(20.0, 3417.0)	(21.0, 8198.0)	(22.0, 15814.0)	(23.0, 27137.0)	(24.0, 42909.0)	(25.0, 65518.0)	(26.0, 96088.0)	(27.0, 136768.0)	(28.0, 191670.0)	(29.0, 261936.0)	(30.0, 358741.0)	(31.0, 494251.0)	(32.0, 697105.0)	(33.0, 1008598.0)	(34.0, 1540663.0)	(35.0, 2408503.0)	(36.0, 4227713.0)	(37.0, 6340522.0)	(38.0, 5137269.0)	(39.0, 963412.0)	(40.0, 7194.0)		
ERR950175_1_val_1	(19.0, 2.0)	(20.0, 38.0)	(21.0, 342.0)	(22.0, 2416.0)	(23.0, 10979.0)	(24.0, 35066.0)	(25.0, 85186.0)	(26.0, 175481.0)	(27.0, 311748.0)	(28.0, 497707.0)	(29.0, 728842.0)	(30.0, 1011374.0)	(31.0, 1373967.0)	(32.0, 1861648.0)	(33.0, 2477909.0)	(34.0, 3163814.0)	(35.0, 3887480.0)	(36.0, 4673429.0)	(37.0, 4292270.0)	(38.0, 1575721.0)	(39.0, 238070.0)	(40.0, 229.0)							
ERR950175_2_val_2	(14.0, 3.0)	(15.0, 22.0)	(16.0, 69.0)	(17.0, 257.0)	(18.0, 606.0)	(19.0, 1699.0)	(20.0, 8924.0)	(21.0, 24768.0)	(22.0, 50689.0)	(23.0, 88411.0)	(24.0, 141336.0)	(25.0, 208635.0)	(26.0, 293958.0)	(27.0, 393671.0)	(28.0, 511731.0)	(29.0, 648228.0)	(30.0, 810784.0)	(31.0, 1010669.0)	(32.0, 1261744.0)	(33.0, 1616598.0)	(34.0, 2141552.0)	(35.0, 2893156.0)	(36.0, 4182289.0)	(37.0, 5276596.0)	(38.0, 3980348.0)	(39.0, 849642.0)	(40.0, 7333.0)		
ERR950176_1_val_1	(19.0, 2.0)	(20.0, 32.0)	(21.0, 341.0)	(22.0, 2124.0)	(23.0, 9314.0)	(24.0, 29932.0)	(25.0, 74300.0)	(26.0, 152949.0)	(27.0, 271535.0)	(28.0, 429484.0)	(29.0, 621125.0)	(30.0, 855955.0)	(31.0, 1148963.0)	(32.0, 1540429.0)	(33.0, 2054117.0)	(34.0, 2657342.0)	(35.0, 3348498.0)	(36.0, 4174064.0)	(37.0, 4017193.0)	(38.0, 1348188.0)	(39.0, 279738.0)	(40.0, 311.0)							
ERR950176_2_val_2	(14.0, 5.0)	(15.0, 19.0)	(16.0, 69.0)	(17.0, 214.0)	(18.0, 542.0)	(19.0, 1399.0)	(20.0, 6304.0)	(21.0, 15954.0)	(22.0, 31617.0)	(23.0, 55421.0)	(24.0, 87479.0)	(25.0, 131840.0)	(26.0, 188674.0)	(27.0, 258798.0)	(28.0, 344554.0)	(29.0, 452909.0)	(30.0, 589711.0)	(31.0, 771347.0)	(32.0, 1010825.0)	(33.0, 1339370.0)	(34.0, 1808172.0)	(35.0, 2528545.0)	(36.0, 4148902.0)	(37.0, 5447299.0)	(38.0, 3200332.0)	(39.0, 592245.0)	(40.0, 3390.0)		
ERR950177_1_val_1	(20.0, 21.0)	(21.0, 209.0)	(22.0, 1446.0)	(23.0, 6479.0)	(24.0, 20649.0)	(25.0, 52566.0)	(26.0, 109511.0)	(27.0, 197814.0)	(28.0, 317200.0)	(29.0, 461917.0)	(30.0, 626505.0)	(31.0, 822048.0)	(32.0, 1066898.0)	(33.0, 1409409.0)	(34.0, 1935652.0)	(35.0, 2834339.0)	(36.0, 4370879.0)	(37.0, 5201118.0)	(38.0, 2328827.0)	(39.0, 381836.0)	(40.0, 760.0)								
ERR950177_2_val_2	(14.0, 2.0)	(15.0, 8.0)	(16.0, 30.0)	(17.0, 151.0)	(18.0, 450.0)	(19.0, 1086.0)	(20.0, 5609.0)	(21.0, 14333.0)	(22.0, 29438.0)	(23.0, 52993.0)	(24.0, 86257.0)	(25.0, 131101.0)	(26.0, 190008.0)	(27.0, 262082.0)	(28.0, 351344.0)	(29.0, 456391.0)	(30.0, 585519.0)	(31.0, 751186.0)	(32.0, 972553.0)	(33.0, 1282558.0)	(34.0, 1756166.0)	(35.0, 2481970.0)	(36.0, 3742092.0)	(37.0, 4737828.0)	(38.0, 3511681.0)	(39.0, 736918.0)	(40.0, 6329.0)		
ERR950178_1_val_1	(20.0, 24.0)	(21.0, 236.0)	(22.0, 1364.0)	(23.0, 6459.0)	(24.0, 20572.0)	(25.0, 52379.0)	(26.0, 109010.0)	(27.0, 194259.0)	(28.0, 309144.0)	(29.0, 447505.0)	(30.0, 605937.0)	(31.0, 791828.0)	(32.0, 1021586.0)	(33.0, 1340225.0)	(34.0, 1841214.0)	(35.0, 2708339.0)	(36.0, 4383337.0)	(37.0, 6029290.0)	(38.0, 3659678.0)	(39.0, 990812.0)	(40.0, 1835.0)								
ERR950178_2_val_2	(14.0, 5.0)	(15.0, 14.0)	(16.0, 51.0)	(17.0, 210.0)	(18.0, 678.0)	(19.0, 1424.0)	(20.0, 5322.0)	(21.0, 12759.0)	(22.0, 25189.0)	(23.0, 44799.0)	(24.0, 72268.0)	(25.0, 110768.0)	(26.0, 159858.0)	(27.0, 222993.0)	(28.0, 299568.0)	(29.0, 394931.0)	(30.0, 511419.0)	(31.0, 659390.0)	(32.0, 855166.0)	(33.0, 1132019.0)	(34.0, 1551837.0)	(35.0, 2189175.0)	(36.0, 3484968.0)	(37.0, 5466081.0)	(38.0, 5409986.0)	(39.0, 1880758.0)	(40.0, 23397.0)		
ERR950179_1_val_1	(20.0, 16.0)	(21.0, 155.0)	(22.0, 846.0)	(23.0, 3483.0)	(24.0, 11299.0)	(25.0, 29110.0)	(26.0, 61215.0)	(27.0, 113140.0)	(28.0, 183991.0)	(29.0, 274062.0)	(30.0, 379723.0)	(31.0, 510075.0)	(32.0, 682716.0)	(33.0, 934539.0)	(34.0, 1345226.0)	(35.0, 2072386.0)	(36.0, 3496837.0)	(37.0, 4546020.0)	(38.0, 1906265.0)	(39.0, 332443.0)	(40.0, 275.0)								
